country,admin1,population,events,score
Democratic Republic of Congo,Haut-Uele,197393,1129,3
Democratic Republic of Congo,Equateur,357006,182,2
Democratic Republic of Congo,Haut-Katanga,1749401,829,3
Democratic Republic of Congo,Haut-Lomami,,130,2
Democratic Republic of Congo,Ituri,,5948,3
Democratic Republic of Congo,Nord-Kivu,,15662,3
Democratic Republic of Congo,Kasai,637886,222,3
Democratic Republic of Congo,Kasai-Central,708406,411,3
Democratic Republic of Congo,Kasai-Oriental,1928341,300,3
Democratic Republic of Congo,Sankuru,42302,110,2
Democratic Republic of Congo,Kinshasa,4373989,1382,3
Democratic Republic of Congo,Kongo-Central,464252,339,3
Democratic Republic of Congo,Kwango,61029,93,2
Democratic Republic of Congo,Kwilu,501548,248,3
Democratic Republic of Congo,Lomami,253108,183,2
Democratic Republic of Congo,Lualaba,278149,144,2
Democratic Republic of Congo,Mai-Ndombe,128324,209,3
Democratic Republic of Congo,Maniema,422287,540,3
Democratic Republic of Congo,Mongala,200057,59,2
Democratic Republic of Congo,Tanganyika,,855,3
Democratic Republic of Congo,Sud-Kivu,3045040,6381,3
Democratic Republic of Congo,Nord-Ubangi,174394,96,2
Democratic Republic of Congo,Sud-Ubangi,190327,204,3
Democratic Republic of Congo,Tshopo,470561,580,3
Democratic Republic of Congo,Tshuapa,34867,102,2
Djibouti,Ali Sabieh,34524,10,1
Djibouti,Dikhil,30103,14,1
Djibouti,Djibouti,579595,143,2
Djibouti,Obock,14258,15,1
Djibouti,Tadjourah,47151,35,1
Egypt,Alexandria,4900783,666,3
Egypt,Assiut,1989210,172,2
Egypt,Aswan,583255,130,2
Egypt,Beheira,1506243,196,2
Egypt,Beni Suef,1079120,114,2
Egypt,Cairo,6490380,3027,3
Egypt,Dakahlia,2308405,215,3
Egypt,Damietta,634785,133,2
Egypt,Fayoum,1471416,215,3
Egypt,Gharbia,2067178,271,3
Egypt,Giza,7373660,945,3
Egypt,Ismailia,416227,165,2
Egypt,Kafr el-Sheikh,1072597,111,2
Egypt,Qalyubia,3137274,223,3
Egypt,Luxor,2121182,71,2
Egypt,Matrouh,228854,58,2
Egypt,Menia,1974646,317,3
Egypt,Menoufia,1368389,142,2
Egypt,New Valley,27543,23,1
Egypt,North Sinai,,3788,3
Egypt,Port Said,903449,140,2
Egypt,Qena,808833,112,2
Egypt,Red Sea,83418,28,1
Egypt,Sharqia,3842806,328,3
Egypt,South Sinai,,96,2
