country,admin1,population,events,score
Uganda,Kagadi,50693,20,1
Uganda,Kakumiro,79952,22,1
Uganda,Kalangala,37831,16,1
Uganda,Kaliro,58907,13,1
Uganda,Kalungu,55384,26,1
Uganda,Kampala,1563212,1280,3
Uganda,Wakiso,1762174,346,3
Uganda,Kamuli,193352,30,1
Uganda,Kamwenge,53319,8,1
Uganda,Kitagwenda,21829,6,1
Uganda,Kanungu,95767,39,1
Uganda,Kapchorwa,88374,17,1
Uganda,Kasese,312972,232,3
Uganda,Katakwi,61688,91,2
Uganda,Kayunga,58506,43,1
Uganda,Kibaale,26342,23,1
Uganda,Kyankwanzi,43421,16,1
Uganda,Kiboga,11764,11,1
Uganda,Kazo,17842,4,1
Uganda,Kiruhura,4414,5,1
Uganda,Kiryandongo,42923,26,1
Uganda,Kisoro,124323,110,2
Uganda,Kitgum,86188,421,3
Uganda,Koboko,94536,42,1
Uganda,Kole,54139,28,1
Uganda,Kotido,91335,201,3
Uganda,Kumi,59316,15,1
Uganda,Kwania,61065,12,1
Uganda,Kween,31898,44,1
Uganda,Kyegegwa,59324,9,1
Uganda,Kyenjojo,41281,13,1
Uganda,Kyotera,83076,28,1
Uganda,Lamwo,46318,156,2
Uganda,Lira,137822,210,3
Uganda,Luuka,73578,8,1
Uganda,Luwero,173337,105,2
Uganda,Lwengo,41839,32,1
Uganda,Lyantonde,30380,8,1
Uganda,Maracha,95029,8,1
Uganda,Masaka,119717,114,2
Uganda,Mayuge,149168,27,1
Uganda,Mbale,296486,114,2
Uganda,Mbarara,154898,98,2
Uganda,Rwampara,38637,7,1
Uganda,Mitooma,16570,7,1
Uganda,Mityana,120632,43,1
Uganda,Moroto,44529,251,3
Uganda,Obongi,14707,10,1
Uganda,Moyo,43840,49,1
Uganda,Mpigi,60616,39,1
Uganda,Mubende,111269,20,1
Uganda,Kassanda,29050,17,1
Uganda,Mukono,347180,132,2
Uganda,Nakapiripirit,18572,91,2
Uganda,Nabilatuk,12358,46,1
Uganda,Nakaseke,62514,45,1
Uganda,Nakasongola,35330,20,1
Uganda,Namisindwa,66628,13,1
Uganda,Namutumba,24451,5,1
Uganda,Napak,32187,73,2
Uganda,Nebbi,85595,23,1
Uganda,Ngora,46872,6,1
Uganda,Ntoroko,,27,1
Uganda,Ntungamo,138853,36,1
Uganda,Nwoya,50047,136,2
Uganda,Pakwach,60123,17,1
Uganda,Omoro,51320,108,2
Uganda,Otuke,16937,53,2
Uganda,Oyam,105668,47,1
Uganda,Pader,39660,175,2
Uganda,Rakai,41819,24,1
Uganda,Rubanda,84971,33,1
Uganda,Rubirizi,49174,9,1
Uganda,Bunyangabu,49084,23,1
Uganda,Rukungiri,,52,2
Uganda,Serere,45178,11,1
Uganda,Sheema,49692,18,1
Uganda,Sironko,190834,28,1
Uganda,Soroti,122397,89,2
Uganda,Ssembabule,58806,39,1
Uganda,Tororo,136892,50,2
Uganda,Yumbe,118566,49,1
Uganda,Zombo,96988,22,1
Zambia,Central,406972,109,2
Zambia,Muchinga,97835,61,2
Zambia,Copperbelt,791869,376,3
Zambia,Eastern,188806,52,2
Zambia,Luapula,403910,39,1
Zambia,Lusaka,1352266,627,3
Zambia,Northern,217563,58,2
Zambia,North-Western,65166,84,2
Zambia,Southern,258646,104,2
Zambia,Western,98449,62,2
Zimbabwe,Bulawayo,281280,457,3
Zimbabwe,Harare,1210855,2591,3
Zimbabwe,Manicaland,235150,695,3
Zimbabwe,Mashonaland Central,175838,554,3
Zimbabwe,Mashonaland East,290352,617,3
Zimbabwe,Mashonaland West,345267,606,3
Zimbabwe,Masvingo,120467,405,3
Zimbabwe,Matabeleland North,64298,154,2
Zimbabwe,Matabeleland South,67877,173,2
Zimbabwe,Midlands,200536,481,3
Uganda,Pallisa,22184,15,1
Uganda,Butebo,11733,5,1
Lesotho,Mohale's Hoek,8246,2,1
Cape Verde,Boa Vista,9223,32,1
Cape Verde,Brava,4885,10,1
Cape Verde,Maio,5318,4,1
Cape Verde,Mosteiros,17,2,1
Cape Verde,Paul,5619,0,1
Cape Verde,Porto Novo,3147,8,1
Cape Verde,Praia,2968,100,2
Cape Verde,Ribeira Brava,5834,2,1
Cape Verde,Ribeira Grande,7539,14,1
Cape Verde,Ribeira Grande de Santiago,4198,0,1
Cape Verde,Sal,7583,22,1
Cape Verde,Santa Catarina,8166,22,1
Cape Verde,Santa Catarina do Fogo,244,1,1
Cape Verde,Santa Cruz,7351,2,1
Cape Verde,Sao Domingos,5013,6,1
Cape Verde,Sao Filipe,806,10,1
Cape Verde,Sao Miguel,3995,1,1
Cape Verde,Sao Lourenco dos Orgaos,48071,5,1
Cape Verde,Sao Salvador do Mundo,11578,0,1
Cape Verde,Sao Vicente,66265,61,2
Cape Verde,Tarrafal,18940,2,1
Cape Verde,Tarrafal de Sao Nicolau,3173,1,1
Mauritius,Agalega,383,5,1
Mauritius,Flacq,70650,22,1
Mauritius,Grand Port,61347,27,1
Mauritius,Moka,52345,31,1
Mauritius,Pamplemousses,102839,34,1
Mauritius,Port Louis,70105,334,3
Mauritius,Riviere du Rempart,91698,28,1
Mauritius,Savanne,59435,15,1
Mauritius,Rodriguez,33219,34,1
Mauritius,Cargados Carajos Shoals,0,0,1
Mauritius,Plaines Wilhems,183119,113,2
Mauritius,Black River,131772,17,1
Uganda,Kibuku,62369,8,1
Comoros,Ngazidja ou Grande Comore,104766,21,1
Comoros,Grande Comore,219117,120,2
Comoros,Anjouan,42060,32,1
Comoros,Moheli,157170,3,1
Comoros,Ndzuwani ou Anjouan,22724,8,1
Comoros,Mwali ou Moheli,62539,25,1
Sao Tome and Principe,Lobata,1706,1,1
Sao Tome and Principe,Lemba,21209,1,1
Sao Tome and Principe,Cantagalo,3992,0,1
Sao Tome and Principe,Principe,7278,2,1
Sao Tome and Principe,Caue,1523,0,1
Sao Tome and Principe,Agua Grande,63299,39,1
Sao Tome and Principe,Me-Zochi,13405,1,1
Seychelles,Baie Lazare,23090,1,1
Seychelles,Bel Air,8487,16,1
Seychelles,English River,5448,0,1
Seychelles,Mont Fleuri,2557,1,1
Seychelles,Baie Sainte-Anne,2014,1,1
Seychelles,Roche Caiman,3489,0,1
Guinea-Bissau,Tombali,2456,2,1
Seychelles,Port Glaud,26,1,1
Antigua and Barbuda,Barbuda,1601,1,1
Antigua and Barbuda,Saint George,11708,4,1
Antigua and Barbuda,Saint John,32648,112,2
Antigua and Barbuda,Saint Mary,7375,3,1
Antigua and Barbuda,Saint Paul,15634,1,1
Antigua and Barbuda,Saint Peter,6256,2,1
Bahamas,Bimini,,14,1
Bahamas,Cat Island,237,1,1
Bahamas,Central Abaco,,3,1
Bahamas,Central Eleuthera,601,2,1
Bahamas,City of Freeport,1457,7,1
Bahamas,Exuma,2764,5,1
Bahamas,New Providence,66055,84,2
Bahamas,West Grand Bahama,6421,0,1
Barbados,Christ Church,60103,3,1
Barbados,Saint Andrew,914,0,1
Barbados,Saint George,20428,0,1
Barbados,Saint James,32205,0,1
Barbados,Saint John,13947,0,1
Barbados,Saint Lucy,1230,0,1
Barbados,Saint Michael,86110,18,1
Barbados,Saint Philip,31463,2,1
Barbados,Saint Thomas,17637,0,1
Belize,Belize,58060,694,3
Belize,Cayo,69338,193,2
Belize,Corozal,29326,53,2
Belize,Orange Walk,21297,75,2
Belize,Stann Creek,38637,68,2
Belize,Toledo,8551,67,2
Costa Rica,Alajuela,488448,359,3
Costa Rica,Cartago,283341,129,2
Costa Rica,Guanacaste,116421,121,2
Costa Rica,Heredia,259073,95,2
Costa Rica,Limon,,220,3
Costa Rica,Puntarenas,,278,3
Costa Rica,San Jose,1030347,1116,3
Cuba,Artemisa,,50,2
Cuba,Camaguey,326840,73,2
Cuba,Ciego de Avila,56373,13,1
Cuba,Cienfuegos,,34,1
Cuba,Granma,238341,29,1
Cuba,Guantanamo,117449,39,1
Cuba,La Habana,,627,3
Cuba,Holguin,166958,67,2
Cuba,Isla de la Juventud,29094,9,1
Cuba,Las Tunas,136409,19,1
Cuba,Matanzas,288184,82,2
Cuba,Pinar del Rio,37131,21,1
Cuba,Santiago de Cuba,121055,128,2
Cuba,Villa Clara,,101,2
Dominica,Saint Andrew,4407,10,1
Dominica,Saint David,1384,2,1
Dominica,Saint George,36377,45,1
Dominica,Saint John,2546,6,1
Dominica,Saint Joseph,8133,6,1
Dominica,Saint Mark,530,1,1
Dominica,Saint Patrick,7248,3,1
Dominica,Saint Paul,4579,9,1
Dominican Republic,Azua,58866,15,1
Dominican Republic,Bahoruco,25877,5,1
Dominican Republic,Barahona,47279,15,1
Dominican Republic,Dajabon,58394,73,2
Dominican Republic,Distrito Nacional,505576,232,3
Dominican Republic,Duarte,173610,34,1
Dominican Republic,Elias Pina,14097,26,1
Dominican Republic,Espaillat,144134,15,1
Dominican Republic,Hato Mayor,24649,6,1
Dominican Republic,Hermanas Mirabal,51183,18,1
Dominican Republic,La Altagracia,288532,20,1
Dominican Republic,La Romana,182506,8,1
Dominican Republic,La Vega,57287,17,1
Dominican Republic,Maria Trinidad Sanchez,45517,7,1
Dominican Republic,Monsenor Nouel,91481,15,1
Dominican Republic,Monte Cristi,,25,1
Dominican Republic,Monte Plata,64723,5,1
Dominican Republic,Pedernales,,38,1
Dominican Republic,Peravia,164488,6,1
Dominican Republic,Puerto Plata,44021,26,1
Dominican Republic,Samana,,6,1
Dominican Republic,San Cristobal,313385,19,1
Dominican Republic,San Jose de Ocoa,28469,2,1
Dominican Republic,San Juan,65844,16,1
Dominican Republic,San Pedro de Macoris,262664,8,1
Dominican Republic,Sanchez Ramirez,49244,17,1
Dominican Republic,Santiago,146545,124,2
Dominican Republic,Santiago Rodriguez,23669,4,1
Dominican Republic,Santo Domingo,1946558,75,2
Dominican Republic,Valverde,110045,20,1
El Salvador,Ahuachapan,290085,216,3
El Salvador,Cabanas,165341,72,2
El Salvador,Chalatenango,119917,66,2
El Salvador,Cuscatlan,185453,169,2
El Salvador,La Libertad,545679,438,3
El Salvador,La Paz,,237,3
El Salvador,La Union,167841,108,2
El Salvador,Morazan,124322,103,2
El Salvador,San Miguel,258226,272,3
El Salvador,San Salvador,1270366,1809,3
El Salvador,San Vicente,120464,108,2
El Salvador,Santa Ana,316124,283,3
El Salvador,Sonsonate,,332,3
El Salvador,Usulutan,,233,3
Grenada,Carriacou,7299,0,1
Grenada,Saint Andrew,6921,1,1
Grenada,Saint George,29321,23,1
Grenada,Saint John,3214,2,1
Guatemala,Alta Verapaz,513218,326,3
Guatemala,Baja Verapaz,239839,81,2
Guatemala,Chimaltenango,309249,257,3
Guatemala,Chiquimula,185871,214,3
Guatemala,El Progreso,84687,89,2
Guatemala,Quiche,313266,225,3
Guatemala,Escuintla,,359,3
Guatemala,Guatemala,1783262,4552,3
Guatemala,Huehuetenango,365756,231,3
Guatemala,Izabal,177626,342,3
Guatemala,Jalapa,124125,123,2
Guatemala,Jutiapa,182494,126,2
Guatemala,Peten,287041,308,3
Guatemala,Quetzaltenango,413280,431,3
Guatemala,Retalhuleu,172569,194,2
Guatemala,Sacatepequez,306187,163,2
Guatemala,San Marcos,501408,270,3
Guatemala,Santa Rosa,184085,165,2
Guatemala,Solola,275319,268,3
Guatemala,Suchitepequez,314089,175,2
Guatemala,Totonicapan,189156,127,2
Guatemala,Zacapa,101426,142,2
Guyana,Barima-Waini,,26,1
Guyana,Cuyuni-Mazaruni,12079,14,1
Guyana,Demerara-Mahaica,179595,266,3
Guyana,East Berbice-Corentyne,67916,101,2
Guyana,Essequibo Islands-West Demerara,87050,38,1
Guyana,Mahaica-Berbice,41245,83,2
Guyana,Pomeroon-Supenaam,,37,1
Guyana,Upper Demerara-Berbice,17344,48,1
Guyana,Upper Takutu-Upper Essequibo,4838,3,1
Haiti,Artibonite,918479,1031,3
Haiti,Centre,266188,341,3
Haiti,Grande-Anse,,187,2
Haiti,Nippes,110539,189,2
Haiti,Nord,,376,3
Haiti,Nord-Est,146605,189,2
Haiti,Nord-Ouest,293902,132,2
Haiti,Ouest,,3307,3
Haiti,Sud,263217,267,3
Haiti,Sud-Est,,159,2
Honduras,Atlantida,189787,653,3
Honduras,Yoro,408585,448,3
Honduras,Bay Islands,85147,60,2
Honduras,Choluteca,132451,403,3
Honduras,Colon,134650,565,3
Honduras,Comayagua,238959,385,3
Honduras,Copan,208549,354,3
Honduras,Cortes,1247580,2539,3
Honduras,El Paraiso,213261,322,3
Honduras,Francisco Morazan,994607,3877,3
Honduras,Gracias a Dios,,136,2
Honduras,Intibuca,89343,84,2
Honduras,La Paz,90920,106,2
Honduras,Lempira,90021,104,2
Honduras,Ocotepeque,64809,52,2
Honduras,Olancho,153021,539,3
Honduras,Santa Barbara,212997,251,3
Honduras,Valle,91451,122,2
Jamaica,Clarendon,,177,2
Jamaica,Hanover,106672,106,2
Jamaica,Kingston,,1157,3
Jamaica,Manchester,96478,139,2
Jamaica,Portland,,52,2
Jamaica,Saint Andrew,311042,3,1
Jamaica,Saint Ann,122339,140,2
Jamaica,Saint Catherine,273958,541,3
Jamaica,Saint Elizabeth,,87,2
Jamaica,Saint James,115263,322,3
Jamaica,Saint Mary,89974,85,2
Jamaica,Saint Thomas,75345,49,1
Jamaica,Trelawny,47450,66,2
Jamaica,Westmoreland,124965,253,3
Mexico,Aguascalientes,202686,201,3
Mexico,Baja California,,4985,3
Mexico,Baja California Sur,442178,778,3
Mexico,Campeche,402131,1669,3
Mexico,Chiapas,,2839,3
Mexico,Oaxaca,1835698,3762,3
Mexico,Chihuahua,897318,2527,3
Mexico,Veracruz de Ignacio de la Llave,,7522,3
Mexico,Coahuila de Zaragoza,749130,1516,3
Mexico,Colima,,2105,3
Mexico,Ciudad de Mexico,2705415,8196,3
Mexico,Durango,,1064,3
Mexico,Guanajuato,2886074,7073,3
Mexico,Guerrero,,8301,3
Mexico,Hidalgo,1850998,2648,3
Mexico,Jalisco,,4632,3
Mexico,Mexico,8835846,5185,3
Mexico,Michoacan de Ocampo,,7617,3
Mexico,Morelos,1098521,3551,3
Mexico,Nayarit,,373,3
Mexico,Nuevo Leon,2338138,5990,3
Mexico,Puebla,3248032,4966,3
Mexico,Queretaro,473738,261,3
Mexico,Quintana Roo,,1898,3
Mexico,San Luis Potosi,884623,1092,3
Mexico,Sinaloa,,5631,3
Mexico,Sonora,,2952,3
Mexico,Tabasco,1181880,2552,3
Mexico,Tamaulipas,775247,3033,3
Mexico,Tlaxcala,822650,498,3
Mexico,Yucatan,556723,994,3
Mexico,Zacatecas,772227,2553,3
Nicaragua,Boaco,121457,50,2
Nicaragua,Carazo,106403,75,2
Nicaragua,Chinandega,124815,52,2
Nicaragua,Chontales,89584,33,1
Nicaragua,Costa Caribe Norte,235136,98,2
Nicaragua,Costa Caribe Sur,119688,52,2
Nicaragua,Esteli,110421,66,2
Nicaragua,Nueva Segovia,153351,61,2
Nicaragua,Granada,69427,51,2
Nicaragua,Jinotega,194818,78,2
Nicaragua,Leon,130376,132,2
Nicaragua,Madriz,79103,42,1
Nicaragua,Managua,223966,811,3
Nicaragua,Masaya,244266,154,2
Nicaragua,Matagalpa,406426,140,2
Nicaragua,Rio San Juan,55875,16,1
Nicaragua,Rivas,87311,57,2
Panama,Bocas del Toro,104867,135,2
Panama,Chiriqui,,430,3
Panama,Cocle,106713,152,2
Panama,Colon,,561,3
Panama,Darien,18284,30,1
Panama,Embera,339,1,1
Panama,Kuna Yala,,12,1
Panama,Herrera,60244,163,2
Panama,Veraguas,95701,284,3
Panama,Los Santos,,98,2
Panama,Ngobe Bugle,13513,20,1
Panama,Panama,,1451,3
Panama,Panama Oeste,377730,513,3
Puerto Rico,Aguada,,10,1
Puerto Rico,Aguadilla,8633,68,2
Puerto Rico,Aguas Buenas,2762,9,1
Puerto Rico,Aibonito,18355,13,1
Puerto Rico,Anasco,7600,9,1
Puerto Rico,Arecibo,5641,43,1
Puerto Rico,Barceloneta,6039,10,1
Puerto Rico,Barranquitas,5550,3,1
Puerto Rico,Bayamon,111373,78,2
Puerto Rico,Cabo Rojo,,31,1
Puerto Rico,Caguas,75628,85,2
Puerto Rico,Canovanas,11314,39,1
Puerto Rico,Carolina,5527,77,2
Puerto Rico,Moca,20179,4,1
Puerto Rico,Catano,15627,24,1
Puerto Rico,Cayey,30640,43,1
Puerto Rico,Ceiba,6340,15,1
Puerto Rico,Cidra,8783,21,1
Puerto Rico,Coamo,5973,8,1
Puerto Rico,Comerio,14958,7,1
Puerto Rico,Culebra,912,4,1
Puerto Rico,Dorado,,33,1
Puerto Rico,Fajardo,2235,35,1
Puerto Rico,Florida,7683,8,1
Puerto Rico,Guayama,9170,26,1
Puerto Rico,Guayanilla,14731,12,1
Puerto Rico,Guaynabo,21838,56,2
Puerto Rico,Gurabo,34314,30,1
Puerto Rico,Hatillo,8185,7,1
Puerto Rico,Humacao,19566,18,1
Puerto Rico,Jayuya,9510,6,1
Puerto Rico,Juana Diaz,16248,25,1
Puerto Rico,Juncos,14199,16,1
Puerto Rico,Lares,5017,1,1
Puerto Rico,Las Piedras,29443,9,1
Puerto Rico,Loiza,,28,1
Puerto Rico,Luquillo,17325,15,1
Puerto Rico,Manati,12955,30,1
Puerto Rico,Mayaguez,,88,2
Puerto Rico,Morovis,19349,11,1
Puerto Rico,Naguabo,6520,10,1
Puerto Rico,Naranjito,23813,6,1
Puerto Rico,Orocovis,4135,9,1
Puerto Rico,Patillas,,7,1
Puerto Rico,Ponce,8102,95,2
Puerto Rico,Quebradillas,26349,2,1
Puerto Rico,Rio Grande,,23,1
Puerto Rico,Sabana Grande,10084,4,1
Puerto Rico,Salinas,4601,30,1
Puerto Rico,San German,6941,14,1
Puerto Rico,San Juan,,747,3
Puerto Rico,San Lorenzo,26080,20,1
Puerto Rico,San Sebastian,5099,11,1
Puerto Rico,Santa Isabel,,14,1
Puerto Rico,Toa Alta,5212,21,1
Puerto Rico,Toa Baja,65746,47,1
Puerto Rico,Trujillo Alto,79884,39,1
Puerto Rico,Utuado,6970,8,1
Puerto Rico,Vega Alta,9036,19,1
Puerto Rico,Vega Baja,35820,35,1
Puerto Rico,Vieques,,33,1
Puerto Rico,Villalba,3137,9,1
Puerto Rico,Yabucoa,14993,20,1
Puerto Rico,Yauco,7193,22,1
Saint Kitts and Nevis,Saint George Basseterre,20472,9,1
Saint Lucia,Anse-la-Raye,211,0,1
Saint Lucia,Castries,49006,33,1
Saint Lucia,Dennery,9607,1,1
Saint Lucia,Gros Islet,3262,4,1
Saint Lucia,Vieux Fort,23677,14,1
Saint Vincent and the Grenadines,Saint George,3032,7,1
Suriname,Brokopondo,3439,21,1
Suriname,Commewijne,16933,1,1
Suriname,Coronie,11853,4,1
Suriname,Marowijne,27140,16,1
Suriname,Nickerie,8737,11,1
Suriname,Para,2014,15,1
Suriname,Paramaribo,97873,197,2
Suriname,Sipaliwini,1462,10,1
Suriname,Wanica,77839,7,1
Trinidad and Tobago,Arima,20974,158,2
Trinidad and Tobago,Tunapuna Piarco,155974,491,3
Trinidad and Tobago,Chaguanas,93798,209,3
Trinidad and Tobago,Couva-Tabaquite-Talparo,124236,299,3
Trinidad and Tobago,Diego Martin,87412,237,3
Trinidad and Tobago,Mayaro Rio Claro,,57,2
Trinidad and Tobago,Penal-Debe,89394,167,2
Trinidad and Tobago,Point Fortin,30933,32,1
Trinidad and Tobago,San Juan-Laventille,128839,425,3
Trinidad and Tobago,Port of Spain,28587,575,3
Trinidad and Tobago,Princes Town,,160,2
Trinidad and Tobago,San Fernando,28472,183,2
Trinidad and Tobago,Sangre Grande,73828,161,2
Trinidad and Tobago,Siparia,,185,2
Trinidad and Tobago,Tobago,76248,89,2
"Virgin Islands, U.S.",Saint Croix,34576,1,1
"Virgin Islands, U.S.",Saint John,19,0,1
"Virgin Islands, U.S.",Saint Thomas,37312,3,1
Puerto Rico,Arroyo,29105,6,1
Suriname,Saramacca,2243,4,1
Puerto Rico,Corozal,2596,11,1
Dominican Republic,Independencia,12976,15,1
Saint Lucia,Soufriere,9193,4,1
Puerto Rico,Penuelas,16193,8,1
Puerto Rico,Ciales,4042,7,1
Cuba,Sancti Spiritus,117007,10,1
Bahamas,North Abaco,197,2,1
Puerto Rico,Rincon,15143,46,1
Puerto Rico,Isabela,22481,7,1
Puerto Rico,Hormigueros,5442,6,1
Cuba,Mayabeque,168579,59,2
Grenada,Saint Mark,7332,1,1
Grenada,Saint Patrick,2150,1,1
Dominican Republic,El Seibo,31752,3,1
Puerto Rico,Las Marias,2096,3,1
Bahamas,Inagua,1033,14,1
Bahamas,Ragged Island,20,6,1
Puerto Rico,Lajas,10119,5,1
Puerto Rico,Guanica,8012,10,1
Antigua and Barbuda,Saint Philip,1745,1,1
Saint Lucia,Micoud,3859,2,1
Puerto Rico,Camuy,6901,3,1
Puerto Rico,Maricao,1307,1,1
Bahamas,North Andros,,2,1
Bahamas,Long Island,,4,1
Bahamas,South Andros,,1,1
Bahamas,Hope Town,,1,1
Puerto Rico,Adjuntas,6150,2,1
Saint Kitts and Nevis,Saint Peter Basseterre,,1,1
Dominica,Saint Luke,4086,1,1
Saint Vincent and the Grenadines,Grenadines,7429,1,1
Puerto Rico,Maunabo,4085,4,1
Guyana,Potaro-Siparuni,4,1,1
Indonesia,East Java,,2086,3
Indonesia,West Java,10689930,2067,3
Indonesia,Southeast Sulawesi,,359,3
Indonesia,South Kalimantan,598476,235,3
Indonesia,Bangka-Belitung,,187,2
Indonesia,North Maluku,484219,232,3
Philippines,Central Luzon,,1853,3
Philippines,Calabarzon,,1701,3
Philippines,Davao Region,,704,3
Philippines,Caraga,1131484,522,3
Philippines,Bangsamoro Autonomous Region in Muslim Mindanao,,2146,3
Philippines,Bicol Region,3147971,838,3
Philippines,Cagayan Valley,1681533,474,3
Philippines,Northern Mindanao,,633,3
Indonesia,Highland Papua,,847,3
Myanmar,Sagaing,,23844,3
Myanmar,Bago-West,,1508,3
Myanmar,Kayin,,3710,3
Myanmar,Kachin,,6417,3
Myanmar,Shan-North,,7422,3
Myanmar,Magway,,7800,3
Myanmar,Tanintharyi,,5104,3
Myanmar,Mandalay,,8029,3
Myanmar,Shan-South,,2395,3
Myanmar,Rakhine,,5818,3
Myanmar,Mon,,2904,3
Myanmar,Ayeyarwady,1988599,1722,3
China,Shandong,6931417,732,3
Myanmar,Yangon,,6139,3
Myanmar,Chin,,2502,3
China,Fujian,6236161,415,3
China,Heilongjiang,3410385,212,3
China,Liaoning,4766152,327,3
China,Gansu,1883599,146,2
China,Inner Mongolia,1436818,189,2
China,Henan,11080963,1062,3
Myanmar,Kayah,,1833,3
Australia,Queensland,868581,578,3
New Zealand,Waikato,74390,50,2
Papua New Guinea,Madang,,67,2
Australia,New South Wales,,1314,3
Australia,Victoria,535436,1009,3
South Korea,Gyeonggi,4633721,2889,3
South Korea,South Chungcheong,726718,867,3
Myanmar,Bago-East,,2966,3
Indonesia,West Nusa Tenggara,1270643,426,3
Indonesia,West Sulawesi,460507,418,3
Indonesia,Riau Islands,,290,3
Indonesia,North Sumatra,2053821,1057,3
Malaysia,Perak,,101,2
Indonesia,East Nusa Tenggara,754272,423,3
Indonesia,Central Java,5190338,1313,3
Indonesia,South Sumatra,1120084,328,3
Indonesia,West Kalimantan,,257,3
Philippines,Eastern Visayas,1664675,533,3
Philippines,Soccsksargen,,855,3
Papua New Guinea,Morobe,,157,2
Indonesia,Central Papua,,1170,3
Indonesia,Maluku,383193,352,3
Indonesia,South Sulawesi,,1342,3
Indonesia,Central Sulawesi,635822,378,3
Indonesia,Aceh,,718,3
Japan,Osaka,1072310,892,3
Taiwan,Penghu,30491,17,1
Philippines,Central Visayas,3899360,1352,3
South Korea,South Jeolla,,1067,3
South Korea,North Jeolla,736888,1898,3
Australia,Australian Capital Territory,38494,224,3
China,Sichuan,6700872,624,3
New Zealand,Marlborough,38666,9,1
Vietnam,Nghe An,504381,35,1
Laos,Khammouane,35062,1,1
Indonesia,Bali,863330,189,2
Indonesia,Yogyakarta,929178,417,3
Indonesia,Banten,3003661,530,3
Indonesia,West Sumatra,442663,256,3
Philippines,Ilocos Region,2936588,460,3
Taiwan,Taoyuan City,,279,3
Mongolia,Omnogovi,39305,13,1
Indonesia,Papua,308781,792,3
South Korea,Jeju,234464,1282,3
South Korea,South Gyeongsang,1074340,3373,3
South Korea,North Chungcheong,448889,1764,3
China,Jiangsu,7733056,814,3
Indonesia,West Papua,198267,345,3
Japan,Nara,378216,92,2
Japan,Ishikawa,49644,59,2
Japan,Nagano,253485,236,3
Japan,Saitama,2389143,719,3
Japan,Kumamoto,171713,68,2
Japan,Hyogo,663533,170,2
Japan,Miyazaki,252160,59,2
Philippines,Western Visayas,,1042,3
North Korea,Ryanggang,160893,64,2
New Zealand,Wellington,221114,242,3
China,Anhui,4554027,308,3
China,Zhejiang,6237668,438,3
China,Hunan,4272882,414,3
China,Guangdong,,1588,3
China,Hebei,6990659,533,3
China,Shaanxi,4369583,726,3
China,Yunnan,3577926,222,3
Solomon Islands,Malaita,16953,11,1
Thailand,Phuket,485965,60,2
Laos,Vientiane Prefecture,413062,15,1
Japan,Hiroshima,92515,268,3
Japan,Tokyo,6406211,4598,3
Japan,Yamanashi,88886,21,1
Japan,Wakayama,255509,52,2
South Korea,Gangwon,,1801,3
China,Hubei,5549512,553,3
Papua New Guinea,Enga,,201,3
Solomon Islands,Western,,9,1
Vietnam,Hanoi,1241628,123,2
Indonesia,North Sulawesi,612153,219,3
Japan,Kyoto,174705,416,3
Japan,Kanagawa,2145994,487,3
Taiwan,Kinmen,36172,20,1
Samoa,Atua,5751,1,1
China,Tianjin,1519258,111,2
Indonesia,Bengkulu,,142,2
Indonesia,Riau,,308,3
Japan,Oita,45489,55,2
Philippines,Mimaropa Region,,219,3
Taiwan,Yunlin,184768,133,2
China,Tibet,235167,73,2
Papua New Guinea,Eastern Highlands,248283,54,2
Antarctica,Antarctica,,9,1
Indonesia,East Kalimantan,382913,408,3
Philippines,Cordillera Administrative Region,740149,356,3
East Timor,Cova Lima,10185,2,1
North Korea,South Pyongan,130611,8,1
South Korea,North Gyeongsang,,1161,3
China,Guizhou,2922375,189,2
Thailand,Chiang Mai,447718,371,3
Thailand,Yala,305773,1900,3
Cambodia,Kandal,378127,127,2
Australia,Western Australia,355855,382,3
Myanmar,Nay Pyi Taw,,519,3
East Timor,Liquica,17631,2,1
East Timor,Dili,504944,65,2
Japan,Kagoshima,,157,2
Australia,Tasmania,93349,184,2
China,Hainan,,107,2
Malaysia,Kedah,485839,31,1
China,Jilin,2707849,235,3
Papua New Guinea,East New Britain,90613,53,2
China,Jiangxi,5136258,369,3
New Zealand,Northland,32005,68,2
Indonesia,Lampung,936282,265,3
Taiwan,Taitung,47077,90,2
Japan,Okinawa,476040,1120,3
Philippines,Zamboanga Peninsula,,485,3
South Korea,Daegu,1000073,1267,3
New Zealand,Southland,21988,46,1
Papua New Guinea,Chimbu,467474,26,1
Indonesia,Gorontalo,296712,128,2
Cambodia,Phnom Penh,1374219,1313,3
Solomon Islands,Guadalcanal,101346,30,1
South Korea,Ulsan,,1475,3
Thailand,Lamphun,73403,23,1
Japan,Yamagata,174394,23,1
Indonesia,Southwest Papua,,449,3
Papua New Guinea,Southern Highlands,,36,1
Indonesia,Central Kalimantan,130420,137,2
Japan,Hokkaido,901053,517,3
Taiwan,Yilan,179849,87,2
Taiwan,Chiayi,164800,76,2
Papua New Guinea,East Sepik,,46,1
North Korea,North Hamgyong,,53,2
Japan,Mie,243952,94,2
Japan,Miyagi,386304,303,3
Malaysia,Selangor,1843552,209,3
American Samoa,Eastern,7582,5,1
Thailand,Mae Hong Son,13076,19,1
Indonesia,South Papua,132404,168,2
Taiwan,Hsinchu City,335186,94,2
Papua New Guinea,Hela,1307358,49,1
Papua New Guinea,Oro,6279,13,1
